Country/Area  Year  Unit  Population
Afghanistan  2012  Persons  30696958
Albania  2012  Persons  2920039
Algeria  2012  Persons  37565847
Andorra  2012  Persons  82431
Angola  2012  Persons  25096150
Anguilla  2012  Persons  14129
Antigua and Barbuda  2012  Persons  96777
Argentina  2012  Persons  42096739
Armenia  2012  Persons  2881922
Aruba  2012  Persons  102577
Australia  2012  Persons  22821849
Austria  2012  Persons  8517548
Azerbaijan  2012  Persons  9264917
Bahamas  2012  Persons  372039
Bahrain  2012  Persons  1300217
Bangladesh  2012  Persons  155727053
Barbados  2012  Persons  281585
Belarus  2012  Persons  9471730
Belgium  2012  Persons  11083550
Belize  2012  Persons  336701
Benin  2012  Persons  9729160
Bermuda  2012  Persons  63179
Bhutan  2012  Persons  752967
Bolivia (Plurinational State of)  2012  Persons  10239004
Bosnia and Herzegovina  2012  Persons  3648200
Botswana  2012  Persons  2089315
Brazil  2012  Persons  200560983
British Virgin Islands  2012  Persons  28509
Brunei Darussalam  2012  Persons  399748
Bulgaria  2012  Persons  7310383
Burkina Faso  2012  Persons  16571216
Burundi  2012  Persons  9319710
Cabo Verde  2012  Persons  513979
Cambodia  2012  Persons  14776866
Cameroon  2012  Persons  21082383
Canada  2012  Persons  34900705
Cayman Islands  2012  Persons  57523
Central African Republic  2012  Persons  4490416
Chad  2012  Persons  12705135
Chile  2012  Persons  17309746
China, Hong Kong SAR  2012  Persons  7106399
China, Macao Special Administrative Region  2012  Persons  562531
China, People's Republic of  2012  Persons  1375198619
Colombia  2012  Persons  46881475
Comoros  2012  Persons  723868
Congo  2012  Persons  4633363
Cook Islands  2012  Persons  17996
Costa Rica  2012  Persons  4654122
Croatia  2012  Persons  4296526
Cuba  2012  Persons  11382146
Curaçao  2012  Persons  152985
Cyprus  2012  Persons  863945
Czechia  2012  Persons  10586755
Côte d'Ivoire  2012  Persons  21418603
Democratic People's Republic of Korea  2012  Persons  24730968
Democratic Republic of the Congo  2012  Persons  68978682
Denmark  2012  Persons  5610660
Djibouti  2012  Persons  881185
Dominica  2012  Persons  72044
Dominican Republic  2012  Persons  10154950
Ecuador  2012  Persons  15419666
Egypt  2012  Persons  87813257
El Salvador  2012  Persons  6221246
Equatorial Guinea  2012  Persons  1038593
Eritrea  2012  Persons  4560977
Estonia  2012  Persons  1324934
Ethiopia  2012  Persons  92444183
Fiji  2012  Persons  873596
Finland  2012  Persons  5412980
Former Netherlands Antilles  2012  Persons  188118
France  2012  Persons  65795131
French Polynesia  2012  Persons  271703
Gabon  2012  Persons  1756817
Gambia  2012  Persons  1802125
